date,scope,symbol,locate,adds,adds_mpid,executes,executes_with_price,cancels,deletes,replaces,orphan_execute,orphan_execute_with_price,orphan_cancel,orphan_delete,orphan_replace,replace_duplicate_new_ref,order_id_collision,negative_remaining,cancel_oversized,implausible_size,crossed_book_updates,locked_book_updates,empty_side_updates,reconciliation_samples,reconciliation_mismatches,live_orders_end_of_day,verdict
2019-07-30,DEV_SCOPE,AAPL,14,608656,2958,59179,643,1596,568438,57717,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
2019-07-30,DEV_SCOPE,MSFT,5289,564798,3186,26672,678,9121,547821,54624,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
2019-07-30,DEV_SCOPE,MU,5334,552615,910,25169,295,9014,534337,47189,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
2019-07-30,DEV_SCOPE,AMD,337,438471,1376,41939,626,11322,407089,33195,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
2019-07-30,DEV_SCOPE,INTC,4184,383683,1927,20180,290,3013,369870,33606,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
2019-07-30,DEV_SCOPE,GOOG,3459,369578,922,8586,60,77,364814,73407,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
2019-07-30,DEV_SCOPE,FB,2741,356260,1650,40006,355,323,327713,63553,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
2019-07-30,DEV_SCOPE,GOOGL,3460,325096,856,7631,36,18,320484,91344,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
2019-07-30,DEV_SCOPE,QCOM,6494,265060,1567,18821,924,578,252711,27862,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
2019-07-30,DEV_SCOPE,CSCO,1740,250806,1696,10638,201,9307,244580,21844,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
2019-07-30,DEV_SCOPE,NVDA,5702,241938,2291,13504,95,183,234713,37514,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
2019-07-30,DEV_SCOPE,PYPL,6474,242388,541,23452,550,450,225260,33705,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
